recipe_id,title,description,ingredients,instructions,n_ingredients,n_instructions,temps_preparation,niveau_calorie,image_path,cuisine,tags,difficulte,regime,note_moyenne,nb_avis
1,Tajine de poulet aux olives et citron confit,Plat traditionnel marocain composé de poulet mijoté avec des olives vertes et du citron confit dans une sauce parfumée aux épices.,1 poulet découpé ; 2 oignons émincés ; 2 citrons confits ; 150 g d'olives vertes ; 3 cuillères à soupe d'huile d'olive ; 2 gousses d'ail ; 1 cuillère à café de gingembre ; 1 cuillère à café de curcuma ; 1 bouquet de coriandre ; sel ; poivre ; 250 ml d'eau,Faire revenir les oignons dans l'huile ; Ajouter l'ail et les épices ; Ajouter le poulet et le faire dorer ; Verser l'eau et laisser mijoter 45 minutes ; Ajouter les olives et les citrons confits ; Cuire encore 15 minutes ; Servir chaud,12,7,80,450,Images/Tajine_poulet.jpg,marocaine,"tajine,poulet,citron confit,olives,épices",facile,sans gluten,4.7,120
2,Harira,"Soupe traditionnelle marocaine à base de tomates, lentilles, pois chiches et coriandre. Incontournable pendant le Ramadan.",200 g de viande d'agneau ; 100 g de lentilles vertes ; 100 g de pois chiches ; 4 tomates pelées ; 2 oignons ; 1 bouquet de coriandre ; 1 bouquet de persil ; 2 cuillères à soupe de concentré de tomate ; 1 cuillère à café de curcuma ; 1 cuillère à café de gingembre ; 1 citron ; sel ; poivre ; huile d'olive,Faire revenir l'agneau avec les oignons ; Ajouter les épices et le concentré de tomate ; Incorporer les tomates concassées ; Ajouter les lentilles et les pois chiches ; Couvrir d'eau et laisser mijoter 1h ; Ajouter la coriandre et le persil ; Servir avec du citron,14,7,90,380,Images/Harira.jpg,marocaine,"soupe,lentilles,pois chiches,ramadan,traditionnel",moyen,normal,4.8,200
3,Pastilla au poulet,"Tourte feuilletée sucrée-salée à base de poulet, amandes et cannelle, emblème de la cuisine marocaine festive.",1 kg de poulet ; 500 g de pâte filo ; 200 g d'amandes effilées ; 4 œufs ; 2 oignons ; cannelle ; sucre glace ; safran ; gingembre ; beurre ; huile d'olive ; sel ; persil,Cuire le poulet avec oignons et épices ; Effilocher la viande ; Faire revenir les amandes ; Battre les œufs avec le bouillon de cuisson ; Superposer les feuilles de pâte filo beurrées ; Garnir avec la viande puis les œufs puis les amandes ; Refermer la pastilla ; Dorer au four 25 min ; Saupoudrer de sucre glace et cannelle,13,9,120,620,Images/Pastilla.jpg,marocaine,"pastilla,fêtes,sucré-salé,amandes,filo",difficile,normal,4.9,95
4,Couscous royal,"Le grand classique marocain avec semoule, légumes variés, agneau, poulet et merguez, servi avec du bouillon épicé.",500 g de semoule fine ; 400 g d'agneau ; 2 cuisses de poulet ; 4 merguez ; 2 carottes ; 2 courgettes ; 1 navet ; 200 g de pois chiches ; 2 tomates ; 2 oignons ; cannelle ; cumin ; curcuma ; safran ; huile d'olive ; sel ; beurre,Cuire la viande avec oignons et épices ; Ajouter les légumes coupés ; Faire cuire la semoule à la vapeur ; Griller les merguez ; Assaisonner la semoule avec du beurre ; Servir la semoule avec les légumes et la viande ; Accompagner de bouillon chaud,17,7,150,720,Images/Couscous_royal.jpg,marocaine,"couscous,royal,agneau,merguez,semoule",moyen,normal,4.8,310
5,Msemen,"Crêpes feuilletées marocaines croustillantes à l'extérieur et moelleuses à l'intérieur, parfaites pour le petit-déjeuner.",500 g de farine ; 100 g de semoule fine ; 1 cuillère à café de sel ; 1 cuillère à café de levure sèche ; eau tiède ; huile végétale ; beurre fondu,"Mélanger farine, semoule, sel et levure ; Pétrir en ajoutant l'eau progressivement ; Laisser reposer 30 min ; Former des boules ; Aplatir et plier en superposant huile et semoule ; Cuire à la poêle sans matière grasse",7,6,60,310,Images/Msemen.jpg,marocaine,"msemen,petit-déjeuner,crêpe,feuilleté",moyen,végétarien,4.6,180
6,Briouats au fromage et herbes,"Petits feuilletés triangulaires croustillants farcis d'un mélange de fromage frais, herbes et épices, frits dorés.",500 g de pâte filo ; 300 g de fromage frais ; 2 œufs ; 1 bouquet de persil ; 1 bouquet de coriandre ; sel ; poivre ; huile de friture ; 1 cuillère à café de cumin,"Mélanger le fromage, les œufs, herbes et épices ; Découper la pâte filo en bandes ; Déposer une cuillère de farce ; Plier en triangle ; Sceller avec du blanc d'œuf ; Frire jusqu'à dorure ; Égoutter et servir chaud",9,7,45,280,Images/Briouats_fromage.jpg,marocaine,"briouats,fromage,apéritif,filo,friture",moyen,végétarien,4.5,88
7,Tajine de kefta aux œufs,"Boulettes de viande épicées mijotées dans une sauce tomate avec des œufs pochés, un plat convivial et savoureux.",500 g de viande hachée (bœuf) ; 2 tomates ; 1 oignon ; 3 œufs ; persil ; coriandre ; cumin ; paprika ; sel ; poivre ; huile d'olive,Mélanger la viande avec épices et herbes ; Former des boulettes ; Préparer une sauce tomate avec oignons ; Ajouter les boulettes à la sauce ; Laisser mijoter 20 min ; Casser les œufs sur le dessus ; Couvrir jusqu'à cuisson des œufs ; Servir directement dans le tajine,11,8,50,490,Images/Tajine_kefta.jpg,marocaine,"kefta,tajine,boulettes,œufs,tomate",facile,sans gluten,4.7,142
8,Zaalouk,"Salade cuite d'aubergines et tomates relevée aux épices marocaines, servie froide en entrée ou accompagnement.",2 aubergines ; 3 tomates ; 3 gousses d'ail ; 1 cuillère à café de cumin ; 1 cuillère à café de paprika ; persil ; coriandre ; huile d'olive ; sel ; 1 citron,Cuire les aubergines à la vapeur ou au four ; Peler et écraser la chair ; Faire revenir l'ail avec les épices ; Ajouter les tomates et laisser compoter ; Incorporer les aubergines ; Cuire 15 min en remuant ; Ajouter citron et herbes ; Servir froid,10,8,40,180,Images/Zaalouk.jpg,marocaine,"zaalouk,aubergine,salade,végétarien,entrée",facile,végétalien,4.4,67
9,Spaghetti Carbonara,"La vraie recette romaine : pâtes al dente, guanciale croustillant, œufs et Pecorino Romano, sans crème fraîche.",400 g de spaghetti ; 150 g de guanciale ; 4 jaunes d'œufs ; 1 œuf entier ; 100 g de Pecorino Romano râpé ; poivre noir ; sel,"Cuire les pâtes al dente ; Faire revenir le guanciale ; Mélanger œufs et fromage ; Hors du feu, mélanger les pâtes avec le guanciale ; Ajouter les œufs en remuant rapidement ; Utiliser l'eau de cuisson pour lier la sauce ; Poivrer généreusement",7,7,25,560,Images/Carbonara.jpg,italienne,"pâtes,carbonara,guanciale,pecorino,rome",moyen,normal,4.8,420
10,Pizza Margherita,"La reine des pizzas napolitaines : pâte légère, sauce tomate San Marzano, mozzarella di bufala et basilic frais.",500 g de farine tipo 00 ; 7 g de levure sèche ; 300 ml d'eau ; 400 g de tomates San Marzano ; 250 g de mozzarella di bufala ; basilic frais ; sel ; huile d'olive extra vierge,Pétrir la pâte et laisser lever 2h ; Étaler la pâte finement ; Étaler la sauce tomate ; Répartir la mozzarella ; Cuire à 280°C 8-10 min ; Ajouter les feuilles de basilic ; Finir avec un filet d'huile d'olive,8,7,150,480,Images/Pizza_margherita.jpg,italienne,"pizza,margherita,naples,mozzarella,basilic",moyen,végétarien,4.9,530
