"comment_id	user_id	recipe_id	contenu	note	date_commentaire",
"1	1	1	Ce tajine est absolument délicieux ! Le citron confit donne une vraie touche authentique.	5	2026-03-15",
"2	2	2	""La harira parfaite pour le ftour"," ma famille a adoré ! J'ai ajouté un peu plus de coriandre.""	5	2026-04-02"
"3	3	9	Enfin une vraie recette de carbonara sans crème ! La texture est onctueuse à souhait.	5	2026-02-20",
"4	4	18	""Ce dal est ma recette végane préférée"," simple et tellement savoureux avec du riz basmati.""	4.5	2026-03-10"
"5	5	4	Le couscous royal rappelle exactement celui de ma grand-mère à Fès. Merci pour cette recette !	5	2026-04-18",
"6	6	35	Parfait pour l'été ! J'ajoute une pointe de tabasco pour plus de pep.	4	2026-07-05",
"7	7	31	Le poke bowl est mon repas post-workout idéal. Riche en protéines et tellement frais !	5	2026-05-12",
"8	8	27	Le tiramisu a fait l'unanimité ! J'ai mis un peu moins de sucre et c'était parfait.	5	2026-03-25",
"9	9	7	""Le tajine de kefta est une valeur sûre"," j'en fais toutes les semaines maintenant.""	4.5	2026-04-30"
"10	10	23	""La shakshuka est devenue mon brunch du dimanche favori. Simple"," rapide et délicieux !""	5	2026-06-08"
"11	1	10	""La pâte tipo 00 fait vraiment la différence"," la margherita était aussi bonne qu'en Italie.""	5	2026-04-15"
"12	3	12	""Le bœuf bourguignon a mijoté 3h"," c'était divin. Un régal pour un dîner d'hiver en famille.""	5	2026-01-28"
"13	2	5	""Les msemen étaient croustillants à l'extérieur et moelleux dedans"," exactement comme chez ma maman.""	4.5	2026-05-20"
"14	4	24	Hummus maison bien meilleur que celui du commerce. La clé : retirer les peaux des pois chiches !	4.5	2026-06-15",
"15	5	16	""Le pad thai est excellent ! J'ai utilisé du tamarin en bloc"," ça donne plus d'authenticité.""	4.5	2026-07-01"
